iter	MultiClass
0	0.9111813224
1	0.7707590735
2	0.6618845402
3	0.5737387505
4	0.5006010506
5	0.4394219933
6	0.3875367393
7	0.3427195082
8	0.304034298
9	0.270473978
10	0.2412498873
11	0.2155750356
12	0.1928931893
13	0.1728392799
14	0.1551164126
15	0.1392773442
16	0.1252045485
17	0.1126991833
18	0.1015119148
19	0.09148675377
20	0.08247254664
21	0.07448530581
22	0.0673076951
23	0.06082551021
24	0.05498273058
25	0.04977084097
26	0.04506830137
27	0.04078142093
28	0.03692707221
29	0.03345994861
30	0.03036432086
31	0.02760050422
32	0.02501121059
33	0.02269095894
34	0.0206067195
35	0.01870052302
36	0.01699772365
37	0.01547730871
38	0.0140856461
39	0.01283482515
40	0.01170999595
41	0.01062978031
42	0.009696197112
43	0.008849241159
44	0.008078677508
45	0.007437735191
46	0.006818746194
47	0.006230075591
48	0.005697475446
49	0.005233516127
50	0.004774848453
51	0.004392875482
52	0.00402478755
53	0.003688647176
54	0.003420065119
55	0.003138062361
56	0.002889757146
57	0.002685967537
58	0.002466657602
59	0.002272414802
60	0.002102941594
61	0.001954788133
62	0.001805666649
63	0.001685710021
64	0.001559807209
65	0.001449785925
66	0.0013471128
67	0.001259401899
68	0.001179037372
69	0.001099095199
70	0.001024071505
71	0.0009554927915
72	0.0008996385147
73	0.0008491922906
74	0.0008061111701
75	0.0007660720206
76	0.0007262096658
77	0.0006843460151
78	0.0006506350285
79	0.0006169291994
80	0.0005872177069
81	0.000556730873
82	0.0005280692394
83	0.0005026034173
84	0.0004825530691
85	0.0004583351812
86	0.0004573487098
87	0.0004410194036
88	0.0004284575284
89	0.0004103681575
90	0.000398872904
91	0.0003981304349
92	0.000384458204
93	0.0003690247527
94	0.0003539023481
95	0.0003395424844
96	0.0003284466863
97	0.0003217625641
98	0.0003149169174
99	0.0003057109607
100	0.0003005251371
101	0.000299934302
102	0.0002906880204
103	0.0002789924887
104	0.0002739706159
105	0.0002629061722
106	0.0002569169458
107	0.00025071149
108	0.0002447387154
109	0.0002414513231
110	0.0002356428957
111	0.0002347550361
112	0.0002279102987
113	0.0002210852191
114	0.0002140851626
115	0.0002137306069
116	0.0002079048351
117	0.000203967613
118	0.000199056669
119	0.0001985209875
120	0.0001948298362
121	0.0001899887664
122	0.0001877463995
123	0.0001838697934
124	0.0001819325689
125	0.0001782109656
126	0.0001741990006
127	0.000171738939
128	0.0001696332889
129	0.0001694024078
130	0.0001665358115
131	0.0001628890127
132	0.0001607545408
133	0.0001582019989
134	0.0001542055728
135	0.0001508090872
136	0.0001479320907
137	0.000146232226
138	0.0001439728024
139	0.0001424536118
140	0.0001398815738
141	0.0001366594271
142	0.0001340159982
143	0.0001326089826
144	0.0001315523536
145	0.0001313717503
146	0.0001299695744
147	0.0001297852994
148	0.0001296455701
149	0.0001283427098
150	0.0001268506585
151	0.0001251515736
152	0.0001231694067
153	0.0001206534277
154	0.0001205199567
155	0.0001183074354
156	0.0001169245131
157	0.0001156941901
158	0.0001146604235
159	0.0001119401217
160	0.0001109506964
161	0.0001100042841
162	0.0001094905771
163	0.0001093666764
164	0.0001092937231
165	0.0001092097855
166	0.0001085782232
167	0.0001070613514
168	0.0001060714374
169	0.0001056018417
170	0.0001055044822
171	0.0001054396753
172	0.0001053767772
173	0.0001039500341
174	0.0001028316157
175	0.0001015734359
176	0.000100283909
177	9.860770486e-05
178	9.761068042e-05
179	9.689627633e-05
180	9.604325462e-05
181	9.596373849e-05
182	9.566447153e-05
183	9.480869532e-05
184	9.41141549e-05
185	9.332403446e-05
186	9.287436135e-05
187	9.171792341e-05
188	9.097147156e-05
189	9.033438807e-05
190	9.025322241e-05
191	9.01272993e-05
192	8.911307738e-05
193	8.904235594e-05
194	8.866477313e-05
195	8.860362161e-05
196	8.798874644e-05
197	8.739038552e-05
198	8.654291278e-05
199	8.648188151e-05
200	8.553698757e-05
201	8.475737163e-05
202	8.417018179e-05
203	8.333711138e-05
204	8.252996416e-05
205	8.243993381e-05
206	8.209340024e-05
207	8.156969562e-05
208	8.135556859e-05
209	8.068482508e-05
210	8.001425239e-05
211	7.948275492e-05
212	7.93987303e-05
213	7.85525489e-05
214	7.817064231e-05
215	7.766719993e-05
216	7.696952173e-05
217	7.692338865e-05
218	7.687610721e-05
219	7.656923542e-05
220	7.567260984e-05
221	7.508126709e-05
222	7.46224912e-05
223	7.436756754e-05
224	7.368249045e-05
225	7.364459382e-05
226	7.317631728e-05
227	7.237758634e-05
228	7.233782781e-05
229	7.229880136e-05
230	7.186835949e-05
231	7.170685268e-05
232	7.167323848e-05
233	7.135199391e-05
234	7.076095972e-05
235	7.038876753e-05
236	6.996359854e-05
237	6.96189882e-05
238	6.958472591e-05
239	6.954627673e-05
240	6.951522119e-05
241	6.916355947e-05
242	6.870454809e-05
243	6.829144481e-05
244	6.774790291e-05
245	6.771724961e-05
246	6.73081966e-05
247	6.717795293e-05
248	6.671839139e-05
249	6.656052533e-05
250	6.609634196e-05
251	6.580211383e-05
252	6.577622457e-05
253	6.573197195e-05
254	6.543314243e-05
255	6.496821185e-05
256	6.494295995e-05
257	6.487394724e-05
258	6.484769186e-05
259	6.481718753e-05
260	6.416792518e-05
261	6.383088878e-05
262	6.380091235e-05
263	6.326771079e-05
264	6.310443204e-05
265	6.308445138e-05
266	6.292747579e-05
267	6.28910721e-05
268	6.286716747e-05
269	6.274006363e-05
270	6.213940221e-05
271	6.171167739e-05
272	6.130993921e-05
