epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_f1_macro
1,1.512764318784078,0.36,1.1344107389450073,0.32,0.16161616161616163
2,0.9750497420628865,0.52,1.1141254901885986,0.36,0.17647058823529413
3,0.8952594129244487,0.6666666666666666,1.18141508102417,0.36,0.17647058823529413
4,0.763215168317159,0.6666666666666666,1.2039209604263306,0.36,0.17647058823529413
5,0.6285894314448038,0.7733333333333333,1.1958221197128296,0.36,0.17647058823529413
6,0.5449739034970601,0.8,1.1887402534484863,0.36,0.17647058823529413
7,0.527957718372345,0.8,1.208340048789978,0.36,0.17647058823529413
8,0.3699594775835673,0.8933333333333333,1.229809284210205,0.36,0.17647058823529413
9,0.4458818523089091,0.8133333333333334,1.131445050239563,0.36,0.17647058823529413
10,0.3517807630697886,0.9066666666666666,0.9842291474342346,0.36,0.17647058823529413
11,0.3021599860986074,0.9066666666666666,0.8873323798179626,0.44,0.32083333333333336
12,0.25919957717259723,0.92,0.6539846658706665,0.64,0.582010582010582
13,0.18440844535827636,0.9866666666666667,0.5338093638420105,0.76,0.7166666666666667
14,0.15583905816078186,0.9733333333333334,0.37676551938056946,0.92,0.919047619047619
15,0.19881567756334942,0.9466666666666667,0.2662428617477417,1.0,1.0
16,0.279032777150472,0.9466666666666667,0.19298022985458374,1.0,1.0
17,0.16308239618937173,0.9466666666666667,0.18973693251609802,1.0,1.0
18,0.14994953354199728,0.9733333333333334,0.19520539045333862,1.0,1.0
19,0.2003766413529714,0.9333333333333333,0.1755640059709549,1.0,1.0
20,0.13025596777598064,0.96,0.1498589664697647,1.0,1.0
21,0.13792868296305338,0.9866666666666667,0.11414102464914322,1.0,1.0
22,0.16018943985303244,0.9866666666666667,0.09115821868181229,1.0,1.0
23,0.13801415413618087,0.96,0.06931111961603165,1.0,1.0
24,0.14266057362159093,0.96,0.05838378891348839,1.0,1.0
25,0.10504340867201488,0.9866666666666667,0.05319143459200859,1.0,1.0
26,0.12440849463144939,0.9733333333333334,0.05821679159998894,1.0,1.0
27,0.12605406999588012,0.9866666666666667,0.09564930945634842,1.0,1.0
28,0.1289102194706599,0.96,0.08866443485021591,1.0,1.0
29,0.08379709402720134,0.9733333333333334,0.05497964471578598,1.0,1.0
30,0.09120592047770817,0.9866666666666667,0.08937083929777145,1.0,1.0
31,0.09460187127192815,0.9733333333333334,0.12478044629096985,1.0,1.0
32,0.0960793129603068,0.9866666666666667,0.1044427677989006,1.0,1.0
33,0.05224712580442428,1.0,0.06872645020484924,1.0,1.0
34,0.11836243848005931,0.9733333333333334,0.04120717942714691,1.0,1.0
35,0.09271447122097015,0.9733333333333334,0.028841400519013405,1.0,1.0
36,0.13769553283850353,0.96,0.03110499307513237,1.0,1.0
37,0.13281224166353545,0.9866666666666667,0.047547854483127594,1.0,1.0
38,0.09011407524347305,0.9866666666666667,0.05575359985232353,1.0,1.0
39,0.08704906662305197,0.9866666666666667,0.10641752183437347,1.0,1.0
40,0.1073452893892924,0.96,0.22046172618865967,0.96,0.960233918128655
41,0.1357849669456482,0.9333333333333333,0.19799800217151642,0.96,0.960233918128655
42,0.06571796079476674,0.9866666666666667,0.05495278537273407,1.0,1.0
43,0.05995381067196528,1.0,0.03379536792635918,1.0,1.0
44,0.08359171619017919,0.9733333333333334,0.03540973737835884,1.0,1.0
45,0.050948965152104696,1.0,0.029956836253404617,1.0,1.0
