held_out_repository,train_samples,test_samples,accuracy,macro_f1,weighted_f1
click,621,63,0.6349206349206349,0.4453781512605042,0.5818327330932372
databases,660,24,0.7916666666666666,0.7461910070605722,0.7802861389817911
axios,483,201,0.6567164179104478,0.6101141018993683,0.6575534547602697
express,543,141,0.5035460992907801,0.318815704784381,0.3971235588503365
jinja,624,60,0.7666666666666667,0.6597670250896058,0.7669489247311828
redux,489,195,0.4461538461538462,0.38611864846483385,0.41530671231687205
