feature_name,repository_name,z_score_shift,ks_stat,ks_pvalue,psi
loc,click,0.9375857812428283,0.3492063492063492,9.974270791738949e-07,0.7903554235876293
loc,databases,0.09748069024515345,0.23712121212121212,0.12559333991844504,2.4659017898983233
loc,axios,-0.08870803239351373,0.09721578443187788,0.1262470788623337,0.18245532273550885
loc,express,-0.1299938040193702,0.16312056737588654,0.004476645154391125,0.176163223308981
loc,jinja,0.6990061913786048,0.3737179487179487,2.3501854491641922e-07,1.3588037366527095
loc,redux,-0.3480208735314479,0.34305490011011486,4.273908159585712e-15,0.7867950408150413
complexity,click,0.5717590238340086,0.27053140096618356,0.0003468913035104087,0.4732217741773389
complexity,databases,-0.008104870089957809,0.1946969696969697,0.3038735702621402,2.2572188243746494
complexity,axios,0.12731778804999463,0.13058928957695992,0.014099912404547735,0.10999220319928432
complexity,express,0.08285748552235908,0.23733396026801457,4.963565921949644e-06,0.25096757820059706
complexity,jinja,0.06897996691284766,0.17467948717948717,0.06233335102627506,0.28600861204507283
complexity,redux,-0.3634121010669411,0.3869120654396728,3.3914316831721043e-19,1.0524182513412141
maintainability_index,click,2.2475932070559845,0.8647342995169082,9.28471318942637e-48,2.568995819612272
maintainability_index,databases,2.1602666414008738,0.8257575757575758,1.1828415795481771e-17,1.4217263555786606
maintainability_index,axios,-0.5569499111355743,0.30434782608695654,3.978013308118339e-12,2.215154635654538
maintainability_index,express,-0.5165016016960904,0.27071823204419887,9.955260832773507e-08,1.4309818289369762
maintainability_index,jinja,1.8871568818238853,0.8605769230769231,3.2568183502048475e-45,1.0719701542644982
maintainability_index,redux,-0.5524721243093449,0.3006134969325153,1.2311296900972724e-11,2.1825905373445034
commit_count,click,0.5933776258721837,0.3496664366229584,9.592956881690988e-07,0.7913414441889217
commit_count,databases,0.2879254419613184,0.2015151515151515,0.2669655967551152,0.9170687840210971
commit_count,axios,-0.22789691720937624,0.3448904545595006,1.6609790020508546e-15,0.7441254823879739
commit_count,express,0.36730754690888406,0.3856823792171153,2.019294568869445e-15,1.1035937563054254
commit_count,jinja,0.3658673781092701,0.5115384615384615,9.71940399351093e-14,2.147495819581329
commit_count,redux,-0.36292428647085884,0.3206229353468617,3.3314822641525123e-13,1.1584899199472996
modification_count,click,0.5933776258721837,0.3496664366229584,9.592956881690988e-07,0.7913414441889217
modification_count,databases,0.2879254419613184,0.2015151515151515,0.2669655967551152,0.9170687840210971
modification_count,axios,-0.22789691720937624,0.3448904545595006,1.6609790020508546e-15,0.7441254823879739
modification_count,express,0.36730754690888406,0.3856823792171153,2.019294568869445e-15,1.1035937563054254
modification_count,jinja,0.3658673781092701,0.5115384615384615,9.71940399351093e-14,2.147495819581329
modification_count,redux,-0.36292428647085884,0.3206229353468617,3.3314822641525123e-13,1.1584899199472996
contributor_count,click,0.7862331392346336,0.2912353347135956,8.678477506536297e-05,0.5556509122383855
contributor_count,databases,0.22812532264731916,0.23636363636363636,0.12780078458991997,1.3358315590840926
contributor_count,axios,-0.21077874278569741,0.3987824850900776,1.0096670548344064e-20,0.8685838324584422
contributor_count,express,0.15513572417188104,0.3671878061204498,5.522507479692072e-14,0.8631969177789391
contributor_count,jinja,0.07444505806403659,0.19326923076923078,0.028881562537152,0.37989686242275045
contributor_count,redux,-0.26534549465601187,0.15696083058046248,0.0017949131588848024,0.5846697297877403
commit_frequency,click,0.6354850439351559,0.4053370140326662,5.59768524828034e-09,1.7976744660909512
commit_frequency,databases,1.6311391145279117,0.3659090909090909,0.002786691785635255,4.133257855515734
commit_frequency,axios,-0.1943429014749273,0.46985569049164116,6.055019306193813e-29,1.3005698891485538
commit_frequency,express,0.07423679536714307,0.30649269229262177,8.210197735108325e-10,1.3803827451867632
commit_frequency,jinja,0.095662348194274,0.41378205128205126,5.7144178148773685e-09,2.1822799090860663
commit_frequency,redux,-0.3222956243986697,0.24174925279219758,1.1881436755999388e-07,0.7700007544669082
repository_age_days,click,-0.3032834968928375,0.6763285024154589,4.5030345368615825e-26,6.135355092000586
repository_age_days,databases,-3.030142819129031,1.0,1.696965267534427e-44,7.898618559788922
repository_age_days,axios,-0.47572663175970165,0.546583850931677,1.2660706991923205e-39,5.250849613939002
repository_age_days,express,1.872715683125621,0.8895027624309392,3.474307794122395e-97,7.396826136920505
repository_age_days,jinja,2.1482580348471485,1.0,1.8869199495838103e-87,7.9881105334819615
repository_age_days,redux,-0.8294602180299789,0.950920245398773,1.8029912109355525e-144,10.627393257251645
