scaler_type,clf_accuracy,clf_macro_f1,fore_mae,fore_rmse
StandardScaler,0.6547619047619048,0.5931143990528932,19.961590845809024,30.888551924454106
RobustScaler,0.6428571428571429,0.5665881374722838,19.961590845809024,30.888551924454106
QuantileTransformer (Uniform),0.6547619047619048,0.5868446463449426,20.183947661147158,30.944042181566296
Rank Normalization (Quantile Normal),0.6428571428571429,0.5665881374722838,20.183947661147158,30.944042181566296
