repo_1,repo_2,cosine_similarity,euclidean_distance
axios,axios,0.9999999999999999,0.0
axios,click,-0.6592223503372519,2.7028340072960257
axios,databases,-0.07603413566730688,3.6447192550001914
axios,express,-0.4062626488605331,1.782901643202703
axios,jinja,-0.9273816449429195,3.0440983978102714
axios,redux,0.8749977235507089,0.557812001175799
click,axios,-0.6592223503372519,2.7028340072960257
click,click,1.0000000000000002,0.0
click,databases,0.6659902133923389,2.6380751399996396
click,express,-0.26188694380808303,2.9119608661235654
click,jinja,0.5434206589834205,2.215607338056487
click,redux,-0.6583388620364876,3.0017080076279403
databases,axios,-0.07603413566730688,3.6447192550001914
databases,click,0.6659902133923389,2.6380751399996396
databases,databases,1.0,0.0
databases,express,-0.7939210738385711,4.72115415839104
databases,jinja,-0.1466886356319494,4.558492753065569
databases,redux,0.052832266442179254,3.6286333849461907
express,axios,-0.4062626488605331,1.782901643202703
express,click,-0.26188694380808303,2.9119608661235654
express,databases,-0.7939210738385711,4.72115415839104
express,express,1.0,0.0
express,jinja,0.4874792855508425,2.116808429049681
express,redux,-0.5387229854698256,2.1488625538913864
jinja,axios,-0.9273816449429195,3.0440983978102714
jinja,click,0.5434206589834205,2.215607338056487
jinja,databases,-0.1466886356319494,4.558492753065569
jinja,express,0.4874792855508425,2.116808429049681
jinja,jinja,1.0,0.0
jinja,redux,-0.8815806696305826,3.3644337043406853
redux,axios,0.8749977235507089,0.557812001175799
redux,click,-0.6583388620364876,3.0017080076279403
redux,databases,0.052832266442179254,3.628633384946191
redux,express,-0.5387229854698256,2.148862553891387
redux,jinja,-0.8815806696305826,3.364433704340685
redux,redux,0.9999999999999998,0.0
