feature_name,lr_coef_LOW,lr_coef_MEDIUM,lr_coef_HIGH,decision_tree_importance,random_forest_importance,xgboost_importance
time_decayed_churn,1.515613392866525,-1.1320082755950378,-0.38360511727149593,0.0,0.4435905813555603,1.0
historical_bug_density,-0.8047489767690579,-2.4857048269812294,3.2904538037502786,0.0,0.2970791584914564,0.0
time_since_last_bug_fix,1.5669224264537691,-1.522802448970126,-0.04411997748365581,1.0,0.25656101588726743,0.0
language_typescript,-0.0024636626307805963,-0.0017500981115252082,0.004213760742305687,0.0,0.0010322030140426921,0.0
language_python,-0.0006244012916046826,0.0023665852710047595,-0.0017421839794003497,0.0,0.0007757831749932181,0.0
language_javascript,-0.0023165405452889158,0.0013143955135510974,0.001002145031737998,0.0,0.0005452272017012974,0.0
language_java,-0.0023165405452889158,0.0013143955135510974,0.001002145031737998,0.0,0.00041603087497860765,0.0
complexity,0.0,0.0,0.0,0.0,0.0,0.0
recent_churn,0.0,0.0,0.0,0.0,0.0,0.0
loc,0.0,0.0,0.0,0.0,0.0,0.0
contributor_entropy,0.0,0.0,0.0,0.0,0.0,0.0
ownership_concentration,0.0,0.0,0.0,0.0,0.0,0.0
repository_age_days,0.0,0.0,0.0,0.0,0.0,0.0
commit_frequency,0.0,0.0,0.0,0.0,0.0,0.0
contributor_count,0.0,0.0,0.0,0.0,0.0,0.0
modification_count,0.0,0.0,0.0,0.0,0.0,0.0
commit_count,0.0,0.0,0.0,0.0,0.0,0.0
bus_factor,0.0,0.0,0.0,0.0,0.0,0.0
