model,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,validation_accuracy,validation_f1_macro,test_accuracy,test_f1_macro
Logistic Regression,0.6664596273291925,0.06385292550721257,0.5326472081886837,0.11808381987071538,0.425531914893617,0.1990049751243781,0.47619047619047616,0.3131879543094496
Decision Tree,0.659818442427138,0.11289340503762735,0.6137386154353868,0.12458554576971415,0.49645390070921985,0.3418072237289595,0.6071428571428571,0.49950884537350704
Random Forest,0.7319636884854276,0.07997734232859374,0.6834372912738857,0.1209414839039263,0.5035460992907801,0.3326193663543061,0.75,0.6714327522053597
XGBoost,0.7034878165312948,0.09937039982729204,0.6673344521769956,0.12717557737600457,0.48936170212765956,0.3016421780466724,0.7023809523809523,0.6373275236020334
