epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,validation_f1_macro
1,0.7347369539737701,0.7025,0.3591130030155182,1.0,1.0
2,0.21470683574676513,0.9525,0.11864925712347031,1.0,1.0
3,0.09596637189388275,0.99,0.06294740214943886,1.0,1.0
4,0.07139069274067879,0.9925,0.03828232854604721,1.0,1.0
5,0.045463910549879076,0.9975,0.025629088319838046,1.0,1.0
6,0.049456411600112916,0.9925,0.017773635871708392,1.0,1.0
7,0.03743589676916599,0.9975,0.009705619364976882,1.0,1.0
8,0.02861010804772377,0.9975,0.007490196749567985,1.0,1.0
9,0.021156041175127028,1.0,0.007316554039716721,1.0,1.0
10,0.02116393655538559,1.0,0.005237233676016331,1.0,1.0
11,0.013167544193565845,1.0,0.005371577385812998,1.0,1.0
12,0.016350385658442976,1.0,0.0042126553505659105,1.0,1.0
13,0.018712339848279955,1.0,0.003489410411566496,1.0,1.0
14,0.014243173040449619,1.0,0.0027676485292613506,1.0,1.0
15,0.008778371103107929,1.0,0.0024891335144639013,1.0,1.0
16,0.011072036921977996,1.0,0.0024201697390526535,1.0,1.0
17,0.011698430757969619,1.0,0.001846204213798046,1.0,1.0
18,0.009383047483861446,1.0,0.002297868151217699,1.0,1.0
19,0.0086472056992352,1.0,0.0017992528714239598,1.0,1.0
20,0.008952125832438469,1.0,0.0014523125439882278,1.0,1.0
21,0.004748034067451954,1.0,0.0013700704602524639,1.0,1.0
22,0.006459177173674106,1.0,0.0010998546797782182,1.0,1.0
23,0.006622072961181402,1.0,0.001059774737805128,1.0,1.0
24,0.005655856225639582,1.0,0.0009623842965811491,1.0,1.0
25,0.005410139793530107,1.0,0.0008838283317163586,1.0,1.0
26,0.005159211596474051,1.0,0.0008204784709960223,1.0,1.0
27,0.0039245888404548165,1.0,0.0008016846515238285,1.0,1.0
28,0.006206179764121771,1.0,0.0008104427624493838,1.0,1.0
29,0.004293050989508629,1.0,0.000697559486143291,1.0,1.0
30,0.002947081662714481,1.0,0.0006600538082420826,1.0,1.0
31,0.008009051149711012,0.9975,0.000643630619160831,1.0,1.0
32,0.002322808112949133,1.0,0.0006407797383144498,1.0,1.0
33,0.0029050628235563637,1.0,0.000573020982556045,1.0,1.0
34,0.002659845056477934,1.0,0.0005295389285311103,1.0,1.0
35,0.0015482943714596332,1.0,0.0005258764093741775,1.0,1.0
36,0.007825470706447958,0.9975,0.0007616783771663905,1.0,1.0
37,0.013634375967085362,0.995,0.0010524712689220905,1.0,1.0
38,0.006377403847873211,1.0,0.0010404520574957131,1.0,1.0
39,0.0026103676855564117,1.0,0.0004989297734573484,1.0,1.0
40,0.0047048638481646775,1.0,0.0004714449355378747,1.0,1.0
41,0.0028789001749828457,1.0,0.0004656644118949771,1.0,1.0
42,0.002942012925632298,1.0,0.0004377713822759688,1.0,1.0
43,0.002234321464784443,1.0,0.00040622842265293003,1.0,1.0
44,0.002978291129693389,1.0,0.0003165218629874289,1.0,1.0
45,0.0033662100601941345,1.0,0.0003461749281268567,1.0,1.0
46,0.0035170320654287933,1.0,0.000351969669573009,1.0,1.0
47,0.0017540894262492656,1.0,0.0003116390039213002,1.0,1.0
48,0.002618135395459831,1.0,0.0002961495122872293,1.0,1.0
49,0.002901970250532031,1.0,0.00028372180182486775,1.0,1.0
50,0.0021926177851855754,1.0,0.000257144671631977,1.0,1.0
51,0.0013060454069636761,1.0,0.00023500945186242462,1.0,1.0
52,0.004596347426995635,1.0,0.0002678322920110077,1.0,1.0
53,0.005205780663527548,0.9975,0.00021489287610165775,1.0,1.0
54,0.0016231420589610933,1.0,0.0002683631028048694,1.0,1.0
55,0.0068444392271339895,1.0,0.00019089266075752675,1.0,1.0
56,0.0036798036051914097,1.0,0.00015880662191193552,1.0,1.0
57,0.0008421209407970309,1.0,0.00019018906634300946,1.0,1.0
58,0.002251270890701562,1.0,0.0001824595360085368,1.0,1.0
59,0.0010863513906951994,1.0,0.00018597847665660083,1.0,1.0
60,0.0019357988238334655,1.0,0.0001406514784321189,1.0,1.0
61,0.001061997462529689,1.0,0.0001557684730505571,1.0,1.0
62,0.0010546376928687097,1.0,0.00014862086973153055,1.0,1.0
63,0.0011338498326949776,1.0,0.00014750993577763438,1.0,1.0
64,0.0013547422434203326,1.0,0.0001629537472035736,1.0,1.0
65,0.004098608964122832,0.9975,0.00015709644998423755,1.0,1.0
66,0.000834813117980957,1.0,0.00020055727334693075,1.0,1.0
67,0.0012456749193370342,1.0,0.00015016369055956602,1.0,1.0
68,0.0016416574735194445,1.0,0.00012193089642096311,1.0,1.0
69,0.000653474957216531,1.0,0.00012843409145716579,1.0,1.0
70,0.0014838129922281952,1.0,0.00012824617326259613,1.0,1.0
71,0.0020863131457008422,1.0,0.00012232257460709662,1.0,1.0
72,0.001131102868821472,1.0,0.00011424234486185014,1.0,1.0
73,0.001064224949805066,1.0,0.00012142397405114025,1.0,1.0
74,0.000920376640278846,1.0,9.839977545198053e-05,1.0,1.0
75,0.00099160686833784,1.0,9.159911016467959e-05,1.0,1.0
76,0.0005135236692149193,1.0,0.00010022921749623492,1.0,1.0
77,0.0010278999467846007,1.0,9.616471244953572e-05,1.0,1.0
78,0.0008720072149299086,1.0,9.509861003607511e-05,1.0,1.0
79,0.0006812817545142025,1.0,9.620021970476955e-05,1.0,1.0
80,0.0016904239438008516,1.0,7.837180513888598e-05,1.0,1.0
81,0.001118460518773645,1.0,8.469307591440157e-05,1.0,1.0
82,0.0011889781532227063,1.0,9.17546427808702e-05,1.0,1.0
83,0.0006651348061859608,1.0,7.704621239099652e-05,1.0,1.0
84,0.0005166819342412054,1.0,6.61491381470114e-05,1.0,1.0
85,0.000733784509357065,1.0,7.304549799300731e-05,1.0,1.0
86,0.0009441819100175052,1.0,6.811412633396685e-05,1.0,1.0
87,0.00039181399974040686,1.0,7.30363023467362e-05,1.0,1.0
88,0.0017264816339593381,1.0,6.662630679784343e-05,1.0,1.0
89,0.0006492573022842407,1.0,5.999724235152826e-05,1.0,1.0
90,0.00039316516020335254,1.0,7.065655081532896e-05,1.0,1.0
91,0.0006007068685721606,1.0,6.671677314443514e-05,1.0,1.0
92,0.00048305674630682915,1.0,5.848538770806045e-05,1.0,1.0
93,0.0005176066153217107,1.0,5.860022036358714e-05,1.0,1.0
94,0.0004735658498248085,1.0,5.788015143480152e-05,1.0,1.0
95,0.0007016008824575693,1.0,5.765467532910407e-05,1.0,1.0
96,0.0012813369539799169,1.0,5.501279054442421e-05,1.0,1.0
97,0.0029578877380117773,1.0,4.54244228603784e-05,1.0,1.0
98,0.0007553296262631193,1.0,4.8957177496049555e-05,1.0,1.0
99,0.0007658116385573521,1.0,5.024869373301044e-05,1.0,1.0
100,0.0050338640488917005,0.9975,5.242825165623799e-05,1.0,1.0
