Model,Accuracy,Macro F1,Weighted F1
Model A (Tabular Only),0.4642857142857143,0.33219426322874596,0.4013520910072634
Model B (Embeddings Only),0.6428571428571429,0.5217129236417436,0.5767268248706097
Model C (Hybrid Fusion),0.5357142857142857,0.33535353535353535,0.4714285714285714
