repository_name,file_path,language,loc,complexity,maintainability_index,commit_count,modification_count,contributor_count,commit_frequency,repository_age_days,risk_score,risk_label
JOBPORTAL,job-portal-mern/client/src/components/common/ProtectedRoute.jsx,javascript,16,5,-1.0,2,2,2,0.25,8,34.33,MEDIUM
JOBPORTAL,job-portal-mern/client/src/components/common/Navbar.jsx,javascript,330,37,-1.0,6,6,2,0.75,8,73.0,HIGH
JOBPORTAL,job-portal-mern/client/src/components/animations/FadeIn.jsx,javascript,24,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/client/src/components/animations/HoverGlowCard.jsx,javascript,20,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/client/src/components/animations/BlurText.jsx,javascript,49,3,-1.0,1,1,1,0.125,8,26.0,LOW
JOBPORTAL,job-portal-mern/client/src/hooks/useAuth.js,javascript,5,1,-1.0,2,2,2,0.25,8,23.67,LOW
JOBPORTAL,job-portal-mern/client/src/hooks/useTheme.js,javascript,5,1,-1.0,1,1,1,0.125,8,20.67,LOW
JOBPORTAL,job-portal-mern/client/src/pages/SavedJobs.jsx,javascript,72,1,-1.0,3,3,1,0.375,8,26.67,LOW
JOBPORTAL,job-portal-mern/client/src/pages/JobAlerts.jsx,javascript,184,38,-1.0,2,2,1,0.25,8,61.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/auth/ResetPassword.jsx,javascript,99,20,-1.0,3,3,1,0.375,8,64.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/auth/ForgotPassword.jsx,javascript,114,10,-1.0,2,2,1,0.25,8,47.67,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/auth/Login.jsx,javascript,135,14,-1.0,4,4,2,0.5,8,64.33,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/auth/Register.jsx,javascript,156,20,-1.0,4,4,2,0.5,8,67.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/dashboard/Profile.jsx,javascript,232,77,-1.0,5,5,2,0.625,8,70.0,HIGH
JOBPORTAL,job-portal-mern/client/src/pages/dashboard/AdminDashboard.jsx,javascript,171,20,-1.0,3,3,2,0.375,8,64.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/dashboard/Applicants.jsx,javascript,134,37,-1.0,5,5,2,0.625,8,70.0,HIGH
JOBPORTAL,job-portal-mern/client/src/pages/dashboard/PostJob.jsx,javascript,170,21,-1.0,4,4,2,0.5,8,67.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/dashboard/RecruiterDashboard.jsx,javascript,199,43,-1.0,4,4,2,0.5,8,67.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/dashboard/UserDashboard.jsx,javascript,142,20,-1.0,4,4,2,0.5,8,67.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/dashboard/EditJob.jsx,javascript,123,39,-1.0,3,3,1,0.375,8,64.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/jobs/JobDetails.jsx,javascript,175,34,-1.0,4,4,2,0.5,8,67.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/pages/jobs/JobList.jsx,javascript,300,41,-1.0,4,4,2,0.5,8,67.0,MEDIUM
JOBPORTAL,job-portal-mern/client/src/services/api.js,javascript,20,3,-1.0,3,3,2,0.375,8,32.0,MEDIUM
