repository_name,file_path,language,loc,complexity,maintainability_index,commit_count,modification_count,contributor_count,commit_frequency,repository_age_days,bug_fix_commit_count,historical_risk_label
click,src/click/types.py,python,1374,94,18.74090495992198,79,79,32,0.017849073655671,4426,15,HIGH
click,src/click/formatting.py,python,320,20,51.91024993233019,22,22,9,0.0049706281066425,4426,2,MEDIUM
click,src/click/parser.py,python,533,36,40.79188795676464,32,32,13,0.0072300045187528,4426,6,HIGH
click,src/click/termui.py,python,934,101,43.514524642012354,68,68,34,0.0153637596023497,4426,14,HIGH
click,src/click/utils.py,python,647,67,44.37759197754168,51,51,20,0.0115228197017623,4426,7,HIGH
click,src/click/exceptions.py,python,378,42,46.9906608001246,36,36,15,0.0081337550835969,4426,6,HIGH
click,src/click/shell_completion.py,python,681,59,46.18226047374769,47,47,30,0.0106190691369182,4426,13,HIGH
click,src/click/_compat.py,python,586,95,31.841797259385547,39,39,13,0.00881156800723,4426,6,HIGH
click,src/click/_termui_impl.py,python,945,87,19.293762469442417,62,62,28,0.0140081337550835,4426,14,HIGH
click,src/click/testing.py,python,772,26,40.86957620766553,46,46,22,0.0103931314957071,4426,9,HIGH
click,src/click/_utils.py,python,36,2,100.0,3,3,2,0.000677812923633,4426,1,MEDIUM
click,src/click/decorators.py,python,551,45,54.23803286868876,54,54,20,0.0122006326253953,4426,9,HIGH
axios,index.js,javascript,40,1,-1.0,11,11,8,0.0025492468134414,4315,7,HIGH
axios,webpack.config.js,javascript,23,3,-1.0,16,16,9,0.0037079953650057,4315,8,HIGH
axios,vitest.config.js,javascript,45,1,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,rollup.config.js,javascript,122,13,-1.0,13,13,4,0.0030127462340672,4315,7,HIGH
axios,gulpfile.js,javascript,64,14,-1.0,9,9,4,0.0020857473928157,4315,4,HIGH
axios,eslint.config.js,javascript,58,1,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,tests/smoke/esm/vitest.config.js,javascript,16,1,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/cancel.smoke.test.js,javascript,89,18,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/headers.smoke.test.js,javascript,101,16,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/fetch.smoke.test.js,javascript,121,27,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/progress.smoke.test.js,javascript,97,16,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/rateLimit.smoke.test.js,javascript,89,15,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/error.smoke.test.js,javascript,120,34,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/auth.smoke.test.js,javascript,108,24,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/import.smoke.test.js,javascript,29,9,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/files.smoke.test.js,javascript,93,24,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/instance.smoke.test.js,javascript,122,17,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/urlencode.smoke.test.js,javascript,124,17,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/basic.smoke.test.js,javascript,121,25,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/formData.smoke.test.js,javascript,91,23,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/http2.smoke.test.js,javascript,76,7,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/interceptors.smoke.test.js,javascript,120,26,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/smoke/esm/tests/timeout.smoke.test.js,javascript,96,24,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/regression.test.js,javascript,220,34,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/estimateDataURLDecodedBytes.test.js,javascript,34,8,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/fromDataURI.test.js,javascript,65,18,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/composeSignals.test.js,javascript,28,7,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/api.test.js,javascript,193,28,-1.0,7,7,5,0.00162224797219,4315,7,HIGH
axios,tests/unit/axios.test.js,javascript,46,12,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/prototypePollution.test.js,javascript,991,164,-1.0,8,8,3,0.0018539976825028,4315,8,HIGH
axios,tests/unit/parseProtocol.test.js,javascript,30,4,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/transformResponse.test.js,javascript,98,13,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/axiosHeaders.test.js,javascript,494,80,-1.0,6,6,3,0.0013904982618771,4315,6,HIGH
axios,tests/unit/query.test.js,javascript,242,29,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils.test.js,javascript,175,42,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/toFormData.test.js,javascript,231,47,-1.0,3,3,1,0.0006952491309385,4315,3,HIGH
axios,tests/unit/syntaxCompat.test.js,javascript,27,8,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/platform.test.js,javascript,18,4,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/cancel/isCancel.test.js,javascript,11,3,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/cancel/canceledError.test.js,javascript,18,5,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/core/transformData.test.js,javascript,40,9,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/core/dispatchRequest.test.js,javascript,203,27,-1.0,3,3,3,0.0006952491309385,4315,3,HIGH
axios,tests/unit/core/buildFullPath.test.js,javascript,67,14,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/core/AxiosError.test.js,javascript,280,37,-1.0,3,3,2,0.0006952491309385,4315,3,HIGH
axios,tests/unit/core/mergeConfig.test.js,javascript,300,50,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/core/settle.test.js,javascript,110,27,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/kindOfTest.test.js,javascript,10,2,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/endsWith.test.js,javascript,10,2,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/toFlatObject.test.js,javascript,11,2,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/trim.test.js,javascript,10,3,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/toArray.test.js,javascript,11,2,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/kindOf.test.js,javascript,10,2,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/merge.test.js,javascript,136,16,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/utils/extend.test.js,javascript,30,5,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/forEach.test.js,javascript,53,12,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/utils/isX.test.js,javascript,130,26,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,tests/unit/adapters/errorDetails.test.js,javascript,69,14,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,tests/unit/adapters/fetch.test.js,javascript,1413,208,-1.0,16,16,9,0.0037079953650057,4315,16,HIGH
axios,tests/unit/adapters/http.test.js,javascript,5574,879,-1.0,39,39,14,0.0090382387022016,4315,36,HIGH
axios,tests/unit/adapters/adapters.test.js,javascript,38,13,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
