,click,databases,axios,express,jinja,redux
click,0.0,2.5434679985046387,2.239358425140381,2.7635457515716553,0.9398624897003174,2.346369981765747
databases,2.5434679985046387,0.0,3.8569159507751465,4.389223575592041,2.928492784500122,3.807980537414551
axios,2.239358425140381,3.8569159507751465,0.0,1.4271423816680908,2.421505928039551,1.7456049919128418
express,2.7635457515716553,4.389223575592041,1.4271423816680908,0.0,2.847119092941284,2.7020227909088135
jinja,0.9398624897003174,2.928492784500122,2.421505928039551,2.847119092941284,0.0,2.6840994358062744
redux,2.346369981765747,3.807980537414551,1.7456049919128418,2.7020227909088135,2.6840994358062744,0.0
